#  hp   weight   cylinders   ccm   km/l
110.0  1549.0   6  3785.4    9.52
 83.0   941.2   4  1605.9   14.24
138.0  1794.0   8  5751.9    7.01
 71.0   827.8   4  1589.5   12.54
110.0  1206.6   4  1982.8   10.20
100.0  1466.5   6  3687.1    9.35
150.0  2131.4   8  5735.5    5.53
 65.0   915.8   4  1409.3   15.82
220.0  1974.9   8  7439.7    5.95
 53.0   814.2   4  1491.2   14.03
105.0  1689.6   8  5735.5   11.31
110.0  1691.9   6  4227.9    6.38
225.0  2007.1   8  7456.1    5.95
 97.0  1043.3   4  1950.1   11.56
 90.0  1092.2   4  2294.2    8.50
 95.0  1431.1   6  3277.4    8.72
129.0  1689.6   8  4948.9    7.48
210.0  1987.6   8  5211.1    4.68
 90.0  1211.1   4  2474.5   12.07
 92.0  1037.8   4  1589.5   11.90
 46.0   832.3   4  1589.5   11.05
 53.0   814.2   4  1491.2   14.03
 97.0  1136.7   4  1966.5    9.78
110.0  1236.0   6  2835.0    9.99
110.0  1772.2   6  3785.4    7.23
165.0  1562.6   6  3785.4    7.53
130.0  1741.8   8  4998.1    7.23
105.0  1270.1   4  2556.4   11.86
175.0  1733.2   8  5899.4    5.53
 90.0  1533.6   6  3687.1    8.12
150.0  2040.3   8  5211.1    6.80
145.0  1759.9   8  4998.1    7.44
 90.0  1362.1   4  2474.5   10.33
 91.0  1171.2   4  1868.1    8.50
150.0  1787.2   8  5211.1    5.53
175.0  1989.0   8  6554.8    5.95
 71.0   902.6   4  1458.5   13.39
 97.0  1090.9   4  1950.1   10.16
 88.0  1086.4   4  1835.4   14.45
100.0  1315.9   6  3801.8    8.08
105.0  1553.6   6  3785.4    8.72
167.0  2225.3   8  6554.8    5.10
100.0  1097.7   3  1147.1   10.08
 98.0  1335.8   4  1982.8    9.35
 90.0  1159.4   4  2474.5   14.24
225.0  1399.8   8  7456.1    5.95
 86.0  1086.4   4  1999.2    9.35
 78.0  1621.1   6  4096.8    7.65
 65.0   895.8   4  1409.3   14.50
152.0  1911.9   8  5751.9    6.16
 67.0   884.5   4  1294.6   13.18
 63.0   963.9   4  1720.6   16.16
150.0  1713.2   8  5211.1    6.38
 70.0   882.2   4  1392.9   14.24
170.0  1616.1   8  6276.3    6.38
140.0  1564.4   8  4948.9    7.23
 79.0  1190.7   4  1966.5   11.90
 75.0  1011.5   4  1720.6   13.14
180.0  2247.5   8  6276.3    5.10
 67.0   936.7   4  1589.5   13.73
110.0  1524.1   6  3687.1    8.76
100.0  1510.0   6  4096.8    7.23
 66.0   816.5   4  1605.9   15.35
 90.0  1201.1   6  3261.0    8.93
 88.0  1301.8   4  2294.2   11.22
 74.0   993.4   4  1720.6   14.03
 84.0  1041.0   4  2212.3   13.60
150.0  1787.2   8  5899.4    7.87
 68.0   918.5   4  1491.2   15.73
 48.0   900.4   4  1474.8   18.32
175.0  2024.8   8  6554.8    5.95
 85.0  1367.6   6  4293.4   16.16
130.0  1755.4   8  4948.9    5.53
150.0  1558.5   8  5211.1    7.65
150.0  2266.6   8  6554.8    4.68
 92.0  1104.0   4  1950.1   15.73
 95.0  1448.3   6  4227.9    7.44
110.0  1596.6   6  4096.8    7.44
 92.0  1188.4   4  2556.4   10.97
 80.0   868.6   4  1605.9   15.18
140.0  1911.9   8  4998.1    7.44
 75.0  1018.8   4  1900.9   11.05
 54.0  1022.4   4  1589.5    9.78
 90.0  1240.6   4  2474.5   11.48
 75.0  1002.4   4  1753.4   14.33
105.0  1638.8   6  3687.1    7.65
 78.0   880.0   4  1589.5   12.33
 70.0   961.6   4  1605.9   13.65
110.0  1653.3   6  4096.8    7.87
135.0  1737.3   8  5211.1    7.74
 60.0   981.6   4  1605.9   10.42
 67.0   891.3   4  1491.2   16.16
 75.0  1153.0   4  2294.2   10.63
 76.0   972.5   4  1605.9   17.64
137.0  1833.4   8  4948.9    5.95
105.0  1245.1   4  2556.4    9.86
155.0  2042.1   8  5735.5    5.53
 78.0  1175.7   4  2294.2    9.78
 65.0   927.6   4  1605.9   14.62
165.0  1675.1   8  5735.5    6.38
125.0  1424.3   6  2671.1    7.23
180.0  1914.2   8  6554.8    6.80
 65.0   804.2   4  1163.5   13.18
 88.0  1370.3   6  4096.8    7.65
 58.0   796.1   4  1294.6   16.62
 75.0   963.9   4  1474.8   11.90
 65.0   895.8   4  1392.9   15.73
 67.0   907.2   4  1294.6   13.18
 88.0  1388.0   6  3277.4    8.59
198.0  2246.2   8  7030.1    5.10
153.0  1872.9   8  5751.9    5.95
 67.0  1474.2   4  2392.5   12.75
 65.0   957.1   4  1392.9   17.35
 82.0  1233.8   4  1950.1   13.18
170.0  2117.4   8  6554.8    6.80
 48.0   945.7   4  1474.8   18.83
110.0  1179.3   4  1982.8    9.14
132.0  1320.0   6  2753.0   13.90
 80.0  1465.1   4  2310.6   11.95
 52.0   748.0   4  1245.4   13.18
139.0  1453.8   8  4948.9    7.70
110.0  1343.5   6  4227.9    7.65
180.0  1662.0   8  5735.5    4.68
 81.0  1366.2   6  3277.4   10.20
 71.0  1008.3   4  1474.8   10.63
 97.0  1154.4   4  1950.1   10.20
 88.0  1197.5   4  1835.4   11.48
100.0  1513.2   6  4096.8    6.38
 95.0  1222.0   4  1884.5    9.78
105.0  1569.0   6  4096.8    7.65
100.0  1656.1   6  3687.1    8.50
 67.0   973.0   4  1589.5   14.37
 84.0  1145.3   4  2212.3   12.33
 72.0  1432.4   6  4096.8    6.38
100.0  1555.8   6  3687.1    8.72
 88.0  1483.2   4  1966.5    8.08
 95.0  1317.2   6  3244.6    9.78
 80.0   977.5   4  1819.0   12.75
115.0  1211.5   4  1982.8   10.63
 60.0   798.3   4  1327.4   14.92
 85.0  1356.2   6  3277.4    8.42
180.0  2040.7   8  5735.5    5.10
105.0  1520.9   6  4096.8    9.35
113.0  1013.3   4  1982.8   11.05
 88.0  1242.8   4  2474.5   10.42
 90.0  1481.0   6  3801.8    8.59
150.0  1665.6   8  4981.7    7.23
160.0  2021.2   8  5735.5    5.10
 85.0  1173.4   6  3277.4    8.93
129.0  1437.4   8  4948.9    5.53
 79.0  1022.8   4  1605.9   11.05
100.0  1186.1   4  1950.1   13.99
 67.0   891.3   4  1491.2   13.60
 90.0  1338.1   4  2474.5   11.48
 61.0   908.5   4  1360.1   13.60
 58.0   827.8   4  1294.6   15.31
 65.0   916.3   4  1392.9   13.52
140.0  1694.2   8  5211.1    8.25
 85.0  1295.0   4  2474.5   10.12
 88.0  1033.7   4  1589.5    8.50
 85.0  1344.9   6  3277.4    8.59
105.0  1415.7   6  3687.1    7.65
 77.0  1601.2   5  2998.8   10.80
200.0  1984.9   8  5030.8    4.25
 88.0   966.2   4  1589.5   11.48
 70.0  1018.3   4  1769.8   14.45
 75.0  1153.0   4  1966.5   13.31
150.0  1900.6   8  5211.1    6.80
 94.0  1079.1   4  1769.8    9.35
 96.0  1225.6   4  2195.9   10.20
145.0  1808.9   8  5735.5    5.53
 69.0   731.6   4  1179.9   14.88
125.0  1769.0   8  5735.5    9.78
 92.0  1299.5   4  2294.2   10.20
 75.0   978.9   4  1900.9   10.20
120.0  1546.7   6  4227.9    7.70
 89.0  1249.6   4  2294.2   10.84
 88.0  1423.8   6  4096.8    7.65
 85.0  1392.5   6  3277.4    8.84
100.0  1491.4   6  3801.8    7.65
 84.0  1195.2   4  2474.5   11.31
